Auteur ou autrice,Genre,Feuille,Jeu de données,Nom normalisé,data_id,dataset_id_FK,author_id_FK,year,details,src,id_bnf,id_wikidata,id_isni,gender,pseudonym,first_name,last_name,date_of_birth,date_of_death,birth_location,death_location,birth_coordinates,death_coordinates,url_ville
Charles d’Orléans,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Charles d'Orléans,27,3,310146,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,120297092,310146,0000 0001 2096 5027,masculin,,,,1394-12-02T00:00:00Z,1465-01-04T00:00:00Z,Paris,Amboise,2.351388888 48.856944444,0.9825 47.411388888,https://www.paris.fr/
Clément Marot,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Clément Marot,28,3,108926,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119146627,108926,0000 0001 2101 6421,masculin,,,,1495-12-11T00:00:00Z,1544-09-22T00:00:00Z,Cahors,Turin,1.440555555 44.4475,7.7 45.066666666,http://www.mairie-cahors.fr
Jean de La Fontaine,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jean de La Fontaine,29,3,49496,2008,Programme collège - cinquième : Fables,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11910267w,49496,0000 0001 2095 8636,masculin,,,,1621-07-08T00:00:00Z,1695-04-13T00:00:00Z,Château-Thierry,Paris,3.403055555 49.046388888,2.351388888 48.856944444,http://www.ville-chateau-thierry.fr
Victor Hugo,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Victor Hugo,30,3,535,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11907966z,535,0000 0001 2120 0982,masculin,,,,1802-02-26T00:00:00Z,1885-05-22T00:00:00Z,Besançon,Paris,6.021388888 47.242222222,2.351388888 48.856944444,http://www.besancon.fr
Alfred de Musset,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Alfred de Musset,31,3,179680,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119172903,179680,0000 0001 2133 4059,masculin,,,,1810-12-11T00:00:00Z,1857-05-02T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Charles Cros,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Charles Cros,32,3,356575,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118982094,356575,0000 0001 2122 9320,masculin,,,,1842-10-01T00:00:00Z,1888-08-09T00:00:00Z,Fabrezan,Paris,2.697222222 43.135555555,2.351388888 48.856944444,http://www.fabrezan.fr
Paul Verlaine,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Paul Verlaine,33,3,755,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119279849,755,0000 0001 2118 5217,masculin,,,,1844-03-30T00:00:00Z,1896-01-08T00:00:00Z,Metz,Paris,6.176944444 49.119722222,2.351388888 48.856944444,http://www.metz.fr
Tristan Corbière,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Tristan Corbière,34,3,316536,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118976404,316536,0000 0001 0862 4019,masculin,,,,1845-07-18T00:00:00Z,1875-03-01T00:00:00Z,Morlaix,Morlaix,-3.827777777 48.5775,-3.827777777 48.5775,http://www.ville.morlaix.fr
Arthur Rimbaud,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Arthur Rimbaud,35,3,493,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119219976,493,0000 0001 2119 2660,masculin,,,,1854-10-20T00:00:00Z,1891-11-10T00:00:00Z,Charleville,Marseille,4.7200227 49.772479,5.376388888 43.296666666,
Guillaume Apollinaire,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Guillaume Apollinaire,36,3,133855,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11888978p,133855,0000 0001 2137 1423,masculin,,,,1880-08-26T00:00:00Z,1918-11-10T00:00:00Z,Rome,Paris,12.482777777 41.893055555,2.351388888 48.856944444,https://www.comune.roma.it/
Max Jacob,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Max Jacob,37,3,156214,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11908382s,156214,0000 0001 2096 2037,masculin,,,,1876-07-12T00:00:00Z,1944-03-05T00:00:00Z,Quimper,camp de Drancy,-4.097777777 47.995833333,2.445278 48.925833,http://www.quimper.bzh
Robert Desnos,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Robert Desnos,38,3,170095,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11899866v,170095,0000 0001 2117 127X,masculin,,,,1900-07-04T00:00:00Z,1945-06-08T00:00:00Z,Paris,camp de concentration de Theresienstadt,2.351388888 48.856944444,14.149722 50.510278,https://www.paris.fr/
Eugène Guillevic,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Eugène Guillevic,39,3,733125,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119064263,733125,0000 0001 2101 1831,masculin,,,,1907-08-05T00:00:00Z,1997-03-19T00:00:00Z,Carnac,Paris,-3.077777777 47.584722222,2.351388888 48.856944444,http://www.carnac.fr
Jacques Prévert,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jacques Prévert,40,3,165274,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119206049,165274,0000 0001 2140 044X,masculin,,,,1900-02-04T00:00:00Z,1977-04-11T00:00:00Z,Neuilly-sur-Seine,Omonville-la-Petite,2.2675 48.887222222,-1.882777777 49.700277777,http://www.neuillysurseine.fr
Malcolm de Chazal,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Malcolm de Chazal,41,3,549230,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118964661,549230,0000 0001 2147 5273,masculin,,,,1902-09-12T00:00:00Z,1981-10-01T00:00:00Z,Vacoas-Phœnix,Curepipe,57.483333333 -20.3,57.516666666 -20.316666666,http://www.vacoasphoenix.org/
Raymond Queneau,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Raymond Queneau,42,3,218690,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11920846s,218690,0000 0001 2144 1794,masculin,,,,1903-02-21T00:00:00Z,1976-10-25T00:00:00Z,Le Havre,Paris,0.108055555 49.494166666,2.351388888 48.856944444,http://lehavre.fr
Claude Roy,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Claude Roy,43,3,867852,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11923021z,867852,0000 0001 2284 0543,masculin,,,,1915-08-28T00:00:00Z,1997-12-13T00:00:00Z,8e arrondissement de Paris,Paris,2.311111111 48.874166666,2.351388888 48.856944444,https://mairie08.paris.fr/
Boris Vian,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Boris Vian,44,3,7833,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,13091689x,7833,0000 0001 2020 7357,masculin,,,,1920-03-10T00:00:00Z,1959-06-23T00:00:00Z,Ville-d'Avray,Paris,2.193333333 48.826111111,2.351388888 48.856944444,http://www.mairie-villedavray.fr
Jacques Roubaud,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jacques Roubaud,45,3,726687,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11922742m,726687,0000 0001 2147 625X,masculin,,,,1932-12-05T00:00:00Z,,Caluire-et-Cuire,#N/A,4.846388888 45.794722222,#N/A,http://www.ville-caluire.fr
Molière,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Molière,46,3,687,2008,Programme collège - quatrième : Le Bourgeois gentilhomme / Les Fourberies de Scapin / Le Malade imaginaire,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11916418p,687,0000 0001 2319 7131,masculin,,,,1622-01-15T00:00:00Z,1673-02-17T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Georges Feydeau,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Georges Feydeau,47,3,49465,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11902711x,49465,0000 0001 2118 4695,masculin,,,,1862-12-08T00:00:00Z,1921-06-05T00:00:00Z,9e arrondissement de Paris,Rueil-Malmaison,2.336966666 48.878280555,2.188333333 48.877777777,https://mairie09.paris.fr/
Georges Courteline,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Georges Courteline,48,3,51107,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11897975m,51107,0000 0001 2145 2784,masculin,,,,1858-06-25T00:00:00Z,1929-06-25T00:00:00Z,Tours,12e arrondissement de Paris,0.688333333 47.392777777,2.388183333 48.840808333,http://www.tours.fr/
Jules Renard,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jules Renard,49,3,314987,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119215017,314987,0000 0001 2120 8319,masculin,,,,1864-02-22T00:00:00Z,1910-05-22T00:00:00Z,Châlons-du-Maine,Paris,-0.643333333 48.163333333,2.351388888 48.856944444,
Honoré de Balzac,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Honoré de Balzac,50,3,9711,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118900414,9711,0000 0001 2347 8072,masculin,,,,1799-05-20T00:00:00Z,1850-08-18T00:00:00Z,Tours,Paris,0.688333333 47.392777777,2.351388888 48.856944444,http://www.tours.fr/
Victor Hugo,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Victor Hugo,51,3,535,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11907966z,535,0000 0001 2120 0982,masculin,,,,1802-02-26T00:00:00Z,1885-05-22T00:00:00Z,Besançon,Paris,6.021388888 47.242222222,2.351388888 48.856944444,http://www.besancon.fr
Alexandre Dumas,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Alexandre Dumas,52,3,38337,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119010630,38337,0000 0001 2101 2885,masculin,,,,1802-07-24T00:00:00Z,1870-12-05T00:00:00Z,Villers-Cotterêts,Puys,3.090277777 49.253055555,1.118199 49.937252,http://www.mairie-villerscotterets.fr
Prosper Mérimée,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Prosper Mérimée,53,3,160333,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11915671f,160333,0000 0001 2130 2532,masculin,,,,1803-09-28T00:00:00Z,1870-09-23T00:00:00Z,Paris,Cannes,2.351388888 48.856944444,7.021388888 43.5525,https://www.paris.fr/
George Sand,F,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,George Sand,54,3,3816,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119236010,3816,0000 0001 2130 9531,féminin,,,,1804-07-01T00:00:00Z,1876-06-08T00:00:00Z,Paris,Nohant-Vic,2.351388888 48.856944444,1.96 46.638611111,https://www.paris.fr/
Théophile Gautier,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Théophile Gautier,55,3,183713,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11904435k,183713,0000 0001 0786 6489,masculin,,,,1811-08-30T00:00:00Z,1872-10-23T00:00:00Z,Tarbes,Neuilly-sur-Seine,0.074444444 43.232777777,2.2675 48.887222222,http://www.tarbes.fr
Gustave Flaubert,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Gustave Flaubert,56,3,43444,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11902894q,43444,0000 0001 2276 2442,masculin,,,,1821-12-12T00:00:00Z,1880-05-08T00:00:00Z,Rouen,Croisset,1.1025 49.443055555,1.038423 49.441329,http://www.rouen.fr
Guy de Maupassant,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Guy de Maupassant,57,3,9327,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11915226h,9327,0000 0001 2125 8201,masculin,,,,1850-08-05T00:00:00Z,1893-07-06T00:00:00Z,Tourville-sur-Arques,Passy,1.101388888 49.858333333,2.284136111 48.857111111,http://www.tourville-sur-arques.fr
Emile Zola,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Émile Zola,58,3,504,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119297200,504,0000 0001 2095 8660,masculin,,,,1840-04-02T00:00:00Z,1902-09-29T00:00:00Z,rue Saint-Joseph,Paris,2.34444 48.8685,2.351388888 48.856944444,
E. T. A. Hoffmann,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Ernst Theodor Amadeus Hoffmann,59,3,150471,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11907623v,150471,0000 0001 2125 8025,masculin,,,,1776-01-24T00:00:00Z,1822-06-25T00:00:00Z,Kaliningrad,Berlin,20.5 54.716666666,13.383333333 52.516666666,http://www.klgd.ru/
Alexandre Pouchkine,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Alexandre Pouchkine,60,3,7200,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,12007375v,7200,0000 0000 6942 4291,masculin,,,,1799-06-06T00:00:00Z,1837-02-10T00:00:00Z,Moscou,Saint-Pétersbourg,37.617777777 55.755833333,30.316666666 59.95,https://www.mos.ru/
Edgar Allan Poe,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Edgar Allan Poe,61,3,16867,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11920094f,16867,0000 0001 2135 4025,masculin,,,,1809-01-19T00:00:00Z,1849-10-07T00:00:00Z,Boston,Baltimore,-71.0625 42.358333333,-76.615 39.286388888,http://www.cityofboston.gov/
Nicolas Gogol,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Nicolas Gogol,62,3,43718,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119052865,43718,0000 0001 2101 4127,masculin,,,,1809-04-01T00:00:00Z,1852-03-04T00:00:00Z,Velyki Sorochyntsi,Moscou,33.947654587 50.02530458,37.617777777 55.755833333,
Charlotte Brontë,F,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Charlotte Brontë,63,3,127332,2008,Programme collège - quatrième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11894145r,127332,0000 0001 2281 6316,féminin,,,,1816-04-21T00:00:00Z,1855-03-31T00:00:00Z,Thornton,Haworth,-1.8504 53.7898,-1.955146 53.831502,
